starname,mass,age_log10yr,age_gyr,feh,distance_pc,chi2,dof,red_chi2,success,message,bands_used
HIP 65 A,0.7189662707110847,10.121302406159266,13.222159937575496,0.12372243579872769,61.90721238758914,13.073059101374653,2,6.536529550687327,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
WASP-136,1.1799999463001833,9.7,5.011872336272715,-0.01955524701395417,259.0367775367091,1133.9619650116476,2,566.9809825058238,True,`xtol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
KELT-1,1.1512565581285474,9.699910243101519,5.0108366251308105,-0.027549379659612423,271.93075064100213,11.743844215095983,2,5.8719221075479915,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
HATS-34,0.9691504036854535,9.618910025329447,4.158244534148816,0.20840190950471135,516.5003331387311,0.40777689885887247,2,0.20388844942943624,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
WASP-96,1.0536315968602143,9.700239760945077,5.014640004426189,0.3687778580157761,350.2279499337634,1.7495616305726804,2,0.8747808152863402,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
TOI-198,0.45348079062876084,8.204509654437885,0.16014362481402994,-0.16367088490536716,23.77377807910762,24.257195829557897,2,12.128597914778949,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
WASP-44,0.9523575938448281,9.698269213189551,4.991938349778804,0.14809041769766595,365.76524791155487,7.399766579903686,2,3.699883289951843,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
Gliese 12,0.24876219751826792,9.397425156658983,2.497038029614979,-0.04022500118428823,12.16644053431201,15.858086663514554,2,7.929043331757277,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
WASP-32,1.0368788162560034,9.699537526767065,5.006538114419541,-0.047578631149584584,280.3801643707153,2.6724404515973927,2,1.3362202257986964,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
WASP-158,1.16989535941828,9.69957424291551,5.0069613953378544,0.038380814992207545,547.2398474745034,3.4197009205654334,2,1.7098504602827167,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
HD 1397,1.2206551922849564,9.7,5.011872336272715,6.20373705560365e-08,78.99714482224904,5.073041728849915,2,2.5365208644249577,True,`xtol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
TOI-6016,1.060506680219519,9.673260870256287,4.712603161402539,0.49999999999999994,260.92482151033096,197.9421934728436,2,98.9710967364218,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
WASP-26,1.1656269738321512,9.632899333435114,4.294368746236613,0.28829016051762973,252.84172613859212,3.137372826463837,2,1.5686864132319185,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
TOI-260,0.5964497522168026,9.686598275087908,4.859574842374627,-0.0906893320665448,20.211453343052494,4.396440819881582,2,2.198220409940791,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
Qatar-4,0.8105707182887353,9.963512703280038,9.194173677210363,0.07899790557094379,331.506675386705,8.29129743820507,2,4.145648719102535,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
WASP-20,1.250219934014282,9.700245704532255,5.014708633329445,0.2834872812237496,289.6530367720233,3.919380267093424,2,1.959690133546712,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
WASP-1,1.204289858445913,9.637725979583585,4.342361541035007,0.15116550091654168,381.53004784778796,8.898805258591967,2,4.449402629295983,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
WASP-45,0.9830228577446118,9.479092144143744,3.013645360687686,0.49999999999999994,215.51674689353325,1.045908248223002,2,0.522954124111501,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
HATS-30,1.0057468668517533,9.701946560407071,5.034386572473544,-0.04541585314914942,343.7960828142746,0.26254691253091866,2,0.13127345626545933,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
TOI-5322,1.097048997150653,9.611712860403863,4.089901610114706,0.49999999999996586,371.67448207838066,61.16072918843983,2,30.580364594219915,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
HATS-49,0.753079925539424,10.048979612344851,11.19385333460671,0.49999999999999994,334.5113082986109,7.730633449746166,2,3.865316724873083,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
HATS-46,0.9016240395128907,9.702519555534211,5.041033174977465,0.019947243123590554,455.9236997263983,1.2036034830381495,2,0.6018017415190747,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
Qatar-5,1.0728047768423643,9.658831862962103,4.558603955057361,0.49999999999999994,364.5585692811461,11.088334569370582,2,5.544167284685291,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
TOI-178,0.6479237442524627,9.980928879805099,9.570373337400504,-0.08184104447786777,62.89844627463217,8.808027390990107,2,4.4040136954950535,True,`ftol` termination condition is satisfied.,"['G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']"
