    0.158443327009677887E+04    0.807275521814823094E+01   -0.386603921651840210E+00    0.523700177669525146E+04    0.490290641784667969E+00   -0.591121852893475629E+07   -0.690775511231546968E+01    1
    0.158878368973731995E+04    0.823050473868847021E+01   -0.455133020877838135E+00    0.287074148654937744E+04    0.144514858722686768E+00   -0.428973841348007135E+07   -0.690875511231548245E+01    1
    0.159804694533348083E+04    0.793470351874828417E+01   -0.883005708456039429E+00    0.560534894466400146E+04    0.281571567058563232E+00   -0.369446731753478386E+07   -0.690975511231547301E+01    1
    0.160426247119903564E+04    0.803346445560455358E+01   -0.172243332862854004E+01    0.775085031986236572E+04    0.928645789623260498E+00   -0.328864005212491238E+07   -0.691075511231547601E+01    1
    0.160262822270393372E+04    0.806723297894001057E+01   -0.174475038051605225E+01    0.384404778480529785E+04    0.186873853206634521E+00   -0.306533502408458712E+07   -0.691175511231546658E+01    1
    0.797449155449867249E+03    0.661925262928009062E+01   -0.143077367544174194E+01    0.978356420993804932E+04    0.839399456977844238E+00   -0.261818339030285412E+07   -0.691275511231547579E+01    1
    0.158222936868667603E+04    0.803163930356502576E+01   -0.121365180611610413E+01    0.237264990806579590E+04    0.688781678676605225E+00   -0.255407775371376611E+07   -0.691375511231547435E+01    1
    0.157669336974620819E+04    0.857508665561676153E+01   -0.745938390493392944E+00    0.228730916976928711E+04    0.204202711582183838E+00   -0.246180451147468621E+07   -0.691475511231548357E+01    1
    0.758845666050910950E+03    0.652937956213951143E+01   -0.148078587651252747E+01    0.252943396568298340E+04    0.770718514919281006E+00   -0.207001845083589805E+07   -0.691575511231552209E+01    1
    0.160693043231964111E+04    0.835459336757659976E+01   -0.111411610245704651E+01    0.965809941291809082E+04    0.213691651821136475E+00   -0.203433593688167748E+07   -0.691675511231554463E+01    1
    0.157164864420890808E+04    0.798742928385734619E+01   -0.152808260917663574E+01    0.982749283313751221E+04    0.151946842670440674E+00   -0.184018083707948355E+07   -0.691775511231549967E+01    1
    0.157707813262939453E+04    0.865462524652481235E+01   -0.649961978197097778E+00    0.534157454967498779E+04    0.235348999500274658E+00   -0.180853382432210981E+07   -0.691875511231549378E+01    1
    0.161127239227294922E+04    0.842966188013553719E+01   -0.411770284175872803E+00    0.921989798545837402E+04    0.861297726631164551E+00   -0.154657291140511376E+07   -0.691975511231551454E+01    1
    0.156482697665691376E+04    0.857059700787067413E+01   -0.160142788290977478E+01    0.786861360073089600E+04    0.476325631141662598E+00   -0.149037603696457716E+07   -0.692075511231548113E+01    1
    0.161246724665164948E+04    0.845643006324768010E+01   -0.701922804117202759E+00    0.423053860664367676E+04    0.475626647472381592E+00   -0.146980580827156804E+07   -0.692175511231547080E+01    1
    0.155489469230175018E+04    0.821539288341999097E+01   -0.107393875718116760E+01    0.221500754356384277E+04    0.796936213970184326E+00   -0.122492963422853779E+07   -0.692275511231549334E+01    1
    0.159476193666458130E+04    0.886968007683753967E+01   -0.262173831462860107E+00    0.716053247451782227E+04    0.949230492115020752E+00   -0.121599723880819906E+07   -0.692375511231548746E+01    1
    0.155587999105453491E+04    0.826344064533710565E+01   -0.700879424810409546E+00    0.429182469844818115E+04    0.631115257740020752E+00   -0.113422903535848111E+07   -0.692475511231548957E+01    1
    0.160546802759170532E+04    0.876582498133182497E+01   -0.159612488746643066E+01    0.255911350250244141E+03    0.113703370094299316E+00   -0.109217355892227101E+07   -0.692575511231552365E+01    1
    0.157706386327743530E+04    0.910946634411811829E+01   -0.796584933996200562E+00    0.436691105365753174E+04    0.679280996322631836E+00   -0.104919306276083854E+07   -0.692675511231553909E+01    1
    0.157242601811885834E+04    0.921761783957481384E+01   -0.698850601911544800E+00    0.897054791450500488E+04    0.601362287998199463E+00   -0.989934514590205275E+06   -0.692775511231552343E+01    1
    0.156298378407955170E+04    0.888747660875320555E+01   -0.152402764558792114E+01    0.481926798820495605E+03    0.775688111782073975E+00   -0.943741536136855721E+06   -0.692875511231550334E+01    1
    0.156336681425571442E+04    0.908443005263805503E+01   -0.165244564414024353E+01    0.920911788940429688E+04    0.680893659591674805E-01   -0.909891156221656711E+06   -0.692975511231548769E+01    1
    0.163557493329048157E+04    0.834646106004715094E+01   -0.115920644998550415E+01    0.914135575294494629E+04    0.338995933532714844E+00   -0.904111732510729809E+06   -0.693075511231546315E+01    1
    0.164054423511028290E+04    0.822331145644188055E+01   -0.255666524171829224E+00    0.483102500438690186E+04    0.498208880424499512E+00   -0.864059737518625450E+06   -0.693175511231550789E+01    1
    0.163709879815578461E+04    0.833168647110462146E+01   -0.506480962038040161E+00    0.129295229911804199E+04    0.569949746131896973E+00   -0.842001828959515202E+06   -0.693275511231550912E+01    1
    0.165057293951511383E+04    0.809167240381240838E+01   -0.899521678686141968E+00    0.884127259254455566E+04    0.347964286804199219E+00   -0.840895658513849135E+06   -0.693375511231550057E+01    1
    0.160318931400775909E+04    0.892430835425853886E+01   -0.158353057503700256E+01    0.731460988521575928E+04    0.311751425266265869E+00   -0.824256054358754074E+06   -0.693475511231554709E+01    1
    0.656410065293312073E+03    0.647927793085575132E+01   -0.939704388380050659E+00    0.961586952209472656E+04    0.860290765762329102E+00   -0.803079856952577597E+06   -0.693575511231551811E+01    1
    0.160034634947776794E+04    0.903824658155441440E+01   -0.444923460483551025E+00    0.688710749149322510E+04    0.717078387737274170E+00   -0.802868870847850456E+06   -0.693675511231548558E+01    1
    0.162869109213352203E+04    0.858454662442207450E+01   -0.952139645814895630E+00    0.889052808284759521E+04    0.497365832328796387E+00   -0.762038066852363874E+06   -0.693775511231549125E+01    1
    0.619520630836486816E+03    0.654770049273967736E+01   -0.885693013668060303E+00    0.140359342098236084E+04    0.998257279396057129E+00   -0.756214427967008203E+06   -0.693875511231549424E+01    1
    0.161664429366588593E+04    0.877829038143157980E+01   -0.132903078198432922E+01    0.253424227237701416E+04    0.145385026931762695E+00   -0.748090571023033466E+06   -0.693975511231547948E+01    1
    0.157222553372383118E+04    0.939814277470111925E+01   -0.564477294683456421E+00    0.301838994026184082E+04    0.760087013244628906E+00   -0.729622545566595509E+06   -0.694075511231545761E+01    1
