Nested Sampling Global Log-Evidence           :   -0.371406876840119580E+02  +/-    0.105647885076450843E+00
Nested Importance Sampling Global Log-Evidence:   -0.399840936918686225E+02  +/-    0.113776578066928594E-01

Dim No.       Mean        Sigma
   1    0.414519956185772003E+03    0.229950760598045889E+02
   2    0.989029896487456384E+01    0.149128076401919246E+00
   3   -0.355743893258448574E+00    0.956189826941266918E-01
   4    0.374203291204504865E+03    0.286681041819160249E+02
   5    0.502180140376023099E+00    0.283714878315586949E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.419360140741452028E+03
   2    0.985773874986778509E+01
   3   -0.250753824710103768E+00
   4    0.373139850599311330E+03
   5    0.295326836772032864E+00

MAP Parameters
Dim No.        Parameter
   1    0.419360140741452028E+03
   2    0.985773874986778509E+01
   3   -0.250753824710103768E+00
   4    0.373139850599311330E+03
   5    0.295326836772032864E+00
