    0.159119052171707153E+04    0.809103884458541955E+01   -0.115665861964225769E+01    0.151121973991394043E+04    0.349450409412384033E+00   -0.359563824491046928E+07   -0.690775511231546968E+01    1
    0.797681236267089844E+03    0.653720426321029713E+01   -0.727372407913208008E+00    0.953770577907562256E+04    0.371706247329711914E+00   -0.305761021485776640E+07   -0.690875511231548245E+01    1
    0.160674258649349213E+04    0.805312680721283058E+01   -0.108325299620628357E+01    0.629841327667236328E+04    0.660116136074066162E+00   -0.297676194670795603E+07   -0.690975511231547301E+01    1
    0.158822086572647095E+04    0.850772573351860117E+01   -0.103864410519599915E+01    0.165120363235473633E+03    0.311431288719177246E+00   -0.288764701264183130E+07   -0.691075511231547601E+01    1
    0.779786959290504456E+03    0.648195404589176150E+01   -0.160833457112312317E+01    0.194141864776611328E+04    0.735707342624664307E+00   -0.275113482093809545E+07   -0.691175511231546658E+01    1
    0.159246518254280090E+04    0.844478076815605228E+01   -0.145018696784973145E+01    0.776153743267059326E+04    0.363497853279113770E+00   -0.274741298138565710E+07   -0.691275511231547579E+01    1
    0.790389087796211243E+03    0.661139031827449841E+01   -0.142789432406425476E+01    0.568187654018402100E+04    0.602162420749664307E+00   -0.262349221578307636E+07   -0.691375511231547435E+01    1
    0.156631445467472076E+04    0.803341614365577783E+01   -0.279628306627273560E+00    0.330753505229949951E+04    0.306076943874359131E+00   -0.246600911729045166E+07   -0.691475511231548357E+01    1
    0.156999961674213409E+04    0.828138150155544395E+01   -0.106555363535881042E+01    0.834819674491882324E+03    0.698617339134216309E+00   -0.245267159060401656E+07   -0.691575511231552209E+01    1
    0.759166522622108459E+03    0.645707339227199562E+01   -0.144407179951667786E+01    0.656098783016204834E+04    0.955137491226196289E+00   -0.205740695943437191E+07   -0.691675511231554463E+01    1
    0.728495467901229858E+03    0.652890836775302930E+01   -0.124136546254158020E+01    0.739439368247985840E+04    0.832250714302062988E-01   -0.189734363730818662E+07   -0.691775511231549967E+01    1
    0.160934083163738251E+04    0.842539911508560202E+01   -0.168991047143936157E+01    0.464688360691070557E+04    0.952701807022094727E+00   -0.173215929683253495E+07   -0.691875511231549378E+01    1
    0.162826178848743439E+04    0.822965346992015867E+01   -0.163559010624885559E+01    0.204553246498107910E+04    0.738822996616363525E+00   -0.157098540363975544E+07   -0.691975511231551454E+01    1
    0.708558431267738342E+03    0.659761376857757575E+01   -0.163157054781913757E+01    0.889268040657043457E+04    0.715120792388916016E+00   -0.149693079819377861E+07   -0.692075511231548113E+01    1
    0.783442053794860840E+03    0.657141707301139810E+01   -0.399189919233322144E+00    0.975544214248657227E+04    0.300035655498504639E+00   -0.148247566799287777E+07   -0.692175511231547080E+01    1
    0.788768497109413147E+03    0.662906392991542859E+01   -0.133974593877792358E+01    0.292877614498138428E+04    0.822247505187988281E+00   -0.146040166307678423E+07   -0.692275511231549334E+01    1
    0.163756285786628723E+04    0.797903034329414407E+01   -0.479017019271850586E+00    0.214724540710449219E+04    0.173739612102508545E+00   -0.139429249991392251E+07   -0.692375511231548746E+01    1
    0.160295448124408722E+04    0.868246240794658775E+01   -0.687421709299087524E+00    0.638796806335449219E+04    0.273087024688720703E+00   -0.118424789588630409E+07   -0.692475511231548957E+01    1
