    0.458323666743272952E+03    0.994064764854195104E+01   -0.262496642786815837E+00    0.350778980903891863E+03    0.605570639580373049E+00   -0.382551838451969175E+02
    0.302639754995422038E+03    0.911894851962394881E+01   -0.332806870846161118E+00    0.509449293719114848E+03    0.358248198057930123E+00   -0.351593811221782317E+02
    0.315444283623281365E+03    0.919125130671050172E+01   -0.432974690322434963E+00    0.378072172545902049E+03    0.223795231363687924E+00   -0.332447163048274632E+02
    0.343107216489029668E+03    0.971671852232121580E+01   -0.692339385542310559E+00    0.309412327689783353E+03    0.915824861987540761E+00   -0.331987876916494500E+02
    0.284540876563670736E+03    0.879831444565987297E+01   -0.389252882386946997E+00    0.446949231604838758E+03    0.413337036974657845E+00   -0.329870848118793845E+02
    0.283493744629467187E+03    0.890982949259956669E+01   -0.689197373187251827E+00    0.323919122175720361E+03    0.710012685854730097E-01   -0.327834661918174319E+02
    0.331281537796721238E+03    0.969171816540814568E+01   -0.309806299385193995E+00    0.360525747703347463E+03    0.293995985890471268E+00   -0.326035071306735631E+02
    0.191683255822850640E+03    0.745459470730756735E+01   -0.360398660472161403E+00    0.446352313677441657E+03    0.152257527337102017E+00   -0.323906224694098057E+02
    0.227825548417135337E+03    0.804266724401109556E+01   -0.540630432907724945E+00    0.385158602210495872E+03    0.791293237350247591E+00   -0.319333630690509978E+02
    0.383274805871258081E+03    0.988926924594597523E+01   -0.253724092484128416E+00    0.418633899572232338E+03    0.484918354322986744E+00   -0.318302691775212239E+02
    0.315511199159994362E+03    0.943468688397426902E+01   -0.595542308812531118E+00    0.367775545196118230E+03    0.423102328994567234E+00   -0.318116421189676757E+02
    0.431923613615389741E+03    0.100885495744602913E+02   -0.268152265075661589E+00    0.399478982059122245E+03    0.762518942593242988E-01   -0.317421411428205644E+02
    0.325318895214218287E+03    0.951328332065374838E+01   -0.575055424019164541E+00    0.446732828108002536E+03    0.318034863093161410E-01   -0.317085580489044503E+02
    0.273523939819166287E+03    0.873619847796233628E+01   -0.444804120578856654E+00    0.419840436208907875E+03    0.938809200716705816E+00   -0.316891123374239285E+02
    0.350576222712901483E+03    0.995882864362698683E+01   -0.477395402198709462E+00    0.461039485856081228E+03    0.574345566346213698E+00   -0.316201307745529299E+02
    0.335900672962523913E+03    0.976746170289834481E+01   -0.470806568935060898E+00    0.335127856439019297E+03    0.400943073122993154E+00   -0.315249477104200722E+02
    0.398247695745006524E+03    0.994691422815645510E+01   -0.282838393759510254E+00    0.358847731882603455E+03    0.850861592723043958E+00   -0.315155224286034041E+02
    0.317031501584180887E+03    0.945128186704977047E+01   -0.742810740634229472E+00    0.356827198250345589E+03    0.139324157473172755E+00   -0.314667500268195397E+02
    0.321474840431495920E+03    0.940787556931709901E+01   -0.454077610788773178E+00    0.288202481010064162E+03    0.545595990279385101E+00   -0.312865889465367886E+02
    0.409923370625021619E+03    0.101133012947834899E+02   -0.443805305510155179E+00    0.414801207156117471E+03    0.429937307648958100E+00   -0.312059379808716884E+02
    0.313251000583236248E+03    0.925718223668207330E+01   -0.463268388949165555E+00    0.440000381264144949E+03    0.103254136164932092E+00   -0.310296228788352231E+02
    0.280200881301518450E+03    0.883570909173151264E+01   -0.587711728761304730E+00    0.321953988055451305E+03    0.862760115723172905E+00   -0.310085685010910233E+02
    0.376414625605261335E+03    0.993768569190668138E+01   -0.501427496502029779E+00    0.351606397978126438E+03    0.204224416918656143E+00   -0.308508342140207290E+02
    0.351656743624511194E+03    0.100557203501156174E+02   -0.544271162870854308E+00    0.341377408109004762E+03    0.892801590774246256E+00   -0.307566212676135464E+02
    0.351183242982884053E+03    0.996582858159897533E+01   -0.401355041167688498E+00    0.451248055735465471E+03    0.918769345462382869E+00   -0.307495956688865988E+02
    0.317762835669666401E+03    0.945807918473354903E+01   -0.654205434245565431E+00    0.348346625258131610E+03    0.298543257904636039E+00   -0.307407582887658641E+02
    0.313662614326083258E+03    0.937930401181167284E+01   -0.581796858945914153E+00    0.323942436043053817E+03    0.337053736630306411E+00   -0.307324079403212025E+02
    0.361619830845467675E+03    0.100367408430318523E+02   -0.816057527099661062E+00    0.391412198239747056E+03    0.383051346463990028E+00   -0.306993656320269324E+02
    0.284923743615602746E+03    0.874783025521625568E+01   -0.284482017787166974E+00    0.370133809037811432E+03    0.169491840391941734E+00   -0.306931455578444847E+02
    0.326048983701995951E+03    0.950961611357663017E+01   -0.602303097539629739E+00    0.430248652091962470E+03    0.813529647912523246E+00   -0.306870544704337576E+02
    0.198330551106315653E+03    0.763679411172762102E+01   -0.277826896273951629E+00    0.394694103865766124E+03    0.205354900288372527E+00   -0.306668275584031704E+02
    0.281096143842732431E+03    0.878803714559479232E+01   -0.338003470281562635E+00    0.440842895838690765E+03    0.836981283525730979E+00   -0.306486463050089704E+02
    0.217833205196970908E+03    0.784056143576969244E+01   -0.285786607824279226E+00    0.399009636187668434E+03    0.509656317417312987E+00   -0.306411936263295459E+02
    0.356099635386852924E+03    0.100439421421743003E+02   -0.423893785357789987E+00    0.417811897083573911E+03    0.843961145697952608E-01   -0.306243464950023565E+02
    0.254224712568636761E+03    0.845489549759316361E+01   -0.303222739090034388E+00    0.312952764313478554E+03    0.936653216434360947E+00   -0.305486000542115974E+02
    0.299411093040004005E+03    0.909158858196789588E+01   -0.707742739113722763E+00    0.344891737986766827E+03    0.801627424151013401E+00   -0.304442837597242644E+02
    0.341081777211160954E+03    0.957430113226188695E+01   -0.359530457385889513E+00    0.369425745602626193E+03    0.418423267561578494E+00   -0.304349932401497831E+02
    0.341288993678152735E+03    0.985266109433746706E+01   -0.488916237835894218E+00    0.345041949959806914E+03    0.460574382444994962E-01   -0.303653447101312892E+02
    0.321611255194987393E+03    0.946616115993843721E+01   -0.382061303933769469E+00    0.433032616900120388E+03    0.512041730535282458E+00   -0.303585265872359429E+02
    0.324875965403213229E+03    0.955830057380130071E+01   -0.375037013224967630E+00    0.384801309771225533E+03    0.612435697377810229E+00   -0.302476912629547883E+02
    0.220921542330740635E+03    0.786879646165707403E+01   -0.299271518586575969E+00    0.357413823840364444E+03    0.402217309938447565E+00   -0.302448999720116447E+02
    0.377473420434321213E+03    0.995391160825758803E+01   -0.320571404713762220E+00    0.447663626642288079E+03    0.473010915486144157E+00   -0.302134635471314965E+02
    0.356208237394179321E+03    0.982784698431744452E+01   -0.396141907520384251E+00    0.409867090945532084E+03    0.324627007273869284E+00   -0.301964836567820036E+02
    0.417293588079499045E+03    0.101143191762703459E+02   -0.302855656270403450E+00    0.302209251819561359E+03    0.228325425616586225E+00   -0.301448052611582469E+02
    0.352276714227973514E+03    0.996024859693893916E+01   -0.790404671982462226E+00    0.316446514548258108E+03    0.557956128942913687E+00   -0.301161374416110519E+02
    0.327968542314576212E+03    0.943850410093842385E+01   -0.509993592023289644E+00    0.332549746046620214E+03    0.851414140285191023E+00   -0.301158884926804795E+02
    0.350587890474066683E+03    0.998567222634273222E+01   -0.491175463194288842E+00    0.420323555002618832E+03    0.133587783378068176E+00   -0.301102852979205906E+02
    0.395076466942802313E+03    0.101237714922632200E+02   -0.493251793084459322E+00    0.293708539823008721E+03    0.463421493388306710E-01   -0.301034380392690295E+02
    0.223540756289127870E+03    0.790764006582108436E+01   -0.295310004314027985E+00    0.351501088270320167E+03    0.322727479843425091E+00   -0.300407471522678904E+02
    0.294455779484760683E+03    0.906822472996463347E+01   -0.386099551539291319E+00    0.323778350403198885E+03    0.136844480571870430E+00   -0.300263061784667897E+02
